Date,Transaction,Item,Time,Class
09-03-2017,7810,Bread,8,First
10-03-2017,7858,Bread,8,First
10-03-2017,7859,Bread,8,First
10-03-2017,7860,Bread,8,First
10-03-2017,7861,Bread,8,First
16-03-2017,8212,Bread,8,First
17-03-2017,8267,Bread,8,First
18-03-2017,8331,Bread,8,First
26-03-2017,8828,Bread,8,First
29-03-2017,8991,Bread,8,First
01-04-2017,9160,Bread,8,First
04-04-2017,9339,Bread,8,First
04-04-2017,9347,Bread,8,First
06-04-2017,9453,Bread,8,First
07-04-2017,9505,Bread,8,First
07-04-2017,9506,Bread,8,First
04-11-2016,441,Coffee,8,First
05-11-2016,529,Coffee,8,First
10-11-2016,939,Coffee,8,First
10-11-2016,940,Coffee,8,First
12-11-2016,1104,Coffee,8,First
14-11-2016,1275,Coffee,8,First
15-11-2016,1342,Coffee,8,First
16-11-2016,1411,Coffee,8,First
18-11-2016,1553,Coffee,8,First
19-11-2016,1630,Coffee,8,First
21-11-2016,1800,Coffee,8,First
21-11-2016,1803,Coffee,9,First
26-11-2016,2070,Coffee,9,First
26-11-2016,2071,Coffee,9,First
28-11-2016,2220,Coffee,9,First
28-11-2016,2222,Coffee,9,First
29-11-2016,2267,Coffee,9,First
29-11-2016,2267,Coffee,9,First
02-12-2016,2418,Coffee,9,First
08-12-2016,2790,Coffee,9,First
10-12-2016,2890,Coffee,9,First
14-12-2016,3112,Coffee,9,First
15-12-2016,3164,Coffee,9,First
15-12-2016,3164,Coffee,9,First
19-12-2016,3438,Coffee,9,First
21-12-2016,3572,Coffee,9,First
21-12-2016,3573,Coffee,9,First
23-12-2016,3696,Coffee,9,First
24-12-2016,3770,Coffee,9,First
03-01-2017,4095,Coffee,9,First
19-01-2017,4894,Coffee,9,First
21-01-2017,5022,Coffee,9,First
24-01-2017,5232,Coffee,9,First
25-01-2017,5291,Coffee,9,First
27-01-2017,5393,Coffee,9,First
11-02-2017,6362,Coffee,9,First
11-02-2017,6362,Coffee,9,First
25-02-2017,7139,Coffee,9,First
04-03-2017,7513,Coffee,9,First
04-03-2017,7515,Coffee,9,First
04-03-2017,7516,Coffee,9,First
06-03-2017,7671,Coffee,9,First
10-03-2017,7858,Coffee,9,First
10-03-2017,7859,Coffee,9,First
11-03-2017,7915,Coffee,9,First
13-03-2017,8059,Coffee,9,First
16-03-2017,8212,Coffee,9,First
16-03-2017,8213,Coffee,9,First
18-03-2017,8326,Coffee,10,Second
18-03-2017,8331,Coffee,10,Second
25-03-2017,8723,Coffee,10,Second
30-03-2017,9041,Coffee,10,Second
31-03-2017,9090,Coffee,10,Second
31-03-2017,9091,Coffee,10,Second
01-04-2017,9160,Coffee,10,Second
04-04-2017,9344,Coffee,10,Second
05-04-2017,9396,Coffee,10,Second
07-04-2017,9506,Coffee,10,Second
07-04-2017,9506,Coffee,10,Second
23-02-2017,7035,Cookies,10,Second
04-04-2017,9343,Cookies,10,Second
30-03-2017,9033,Cookies,10,Second
30-03-2017,9034,Cookies,10,Second
30-03-2017,9035,Cookies,10,Second
05-04-2017,9395,Cookies,10,Second
07-03-2017,7720,Cookies,10,Second
30-03-2017,9041,Cookies,11,Third
07-04-2017,9506,Cookies,11,Third
03-11-2016,354,Jam,11,Third
11-12-2016,2974,Jam,11,Third
17-12-2016,3310,Jam,11,Third
24-01-2017,5232,Jam,11,Third
05-11-2016,529,Jam,11,Third
16-11-2016,1411,Jam,12,Third
26-03-2017,8828,Jam,12,Third
05-04-2017,9395,Jam,10,Second
11-11-2016,1012,Jam,10,Second
29-11-2016,2267,Jam,10,Second
03-11-2016,347,Medialuna,10,Second
04-11-2016,437,Medialuna,10,Second
04-11-2016,450,Medialuna,10,Second
05-11-2016,528,Medialuna,10,Second
05-11-2016,529,Medialuna,11,Third
07-11-2016,741,Medialuna,11,Third
10-11-2016,940,Medialuna,11,Third
12-11-2016,1104,Medialuna,11,Third
17-11-2016,1478,Medialuna,11,Third
18-11-2016,1554,Medialuna,11,Third
28-11-2016,2220,Medialuna,11,Third
15-12-2016,3165,Medialuna,11,Third
17-12-2016,3310,Medialuna,11,Third
24-12-2016,3770,Medialuna,11,Third
07-01-2017,4272,Medialuna,11,Third
21-01-2017,5022,Medialuna,7,First
11-02-2017,6363,Medialuna,7,First
11-03-2017,7915,Medialuna,7,First
11-03-2017,7915,Medialuna,7,First
07-04-2017,9506,Medialuna,7,First
03-11-2016,354,Pastry,7,First
18-11-2016,1554,Pastry,7,First
19-11-2016,1629,Pastry,7,First
19-11-2016,1630,Pastry,7,First
15-12-2016,3165,Pastry,11,Third
17-12-2016,3310,Pastry,11,Third
17-12-2016,3315,Pastry,11,Third
21-12-2016,3573,Pastry,11,Third
23-12-2016,3696,Pastry,11,Third
19-01-2017,4894,Pastry,11,Third
21-01-2017,5022,Pastry,11,Third
07-03-2017,7720,Pastry,11,Third
10-03-2017,7858,Pastry,11,Third
18-03-2017,8326,Pastry,11,Third
04-04-2017,9343,Pastry,11,Third
07-04-2017,9505,Pastry,11,Third
03-11-2016,348,Sandwich,11,Third
19-01-2017,4895,Sandwich,11,Third
07-11-2016,741,Sandwich,11,Third
03-12-2016,2487,Sandwich,11,Third
24-01-2017,5232,Sandwich,11,Third
04-03-2017,7516,Sandwich,11,Third
10-03-2017,7859,Sandwich,11,Third
31-10-2016,82,Sandwich,11,Third
01-11-2016,181,Tea,7,First
01-11-2016,181,Toast,7,First
03-11-2016,348,Toast,7,First
20-12-2016,3513,Tea,9,First
20-12-2016,3513,Tea,9,First
05-01-2017,4180,Tea,8,First
06-01-2017,4230,Tea,8,First
19-01-2017,4895,Tea,8,First
07-04-2017,9506,Tea,8,First
16-12-2016,3229,Tea,8,First
03-01-2017,4095,Tea,8,First
05-01-2017,4180,Toast,12,Third
06-01-2017,4230,Toast,12,Third
19-01-2017,4894,Toast,12,Third
25-01-2017,5291,Toast,12,Third
15-02-2017,6593,Toast,12,Third
10-03-2017,7860,Toast,12,Third
16-03-2017,8213,Toast,12,Third
18-03-2017,8331,Toast,12,Third
31-03-2017,9091,Toast,12,Third
06-04-2017,9454,Toast,12,Third
07-04-2017,9506,Toast,12,Third
